roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model,n_genes,n_sig
0.7699864498644987,0.7459816898203389,0.7083709725986149,0.7439024390243902,0.6728395061728395,0.7197640117994101,0.1954594827552946,326,0.5030674846625767,0.458,3,all,loh,logistic_l1,1162,96
0.7314438422162,0.7201930953559696,0.6935034628124059,0.6524390243902439,0.7345679012345679,0.6815286624203821,0.20995604528009307,326,0.5030674846625767,0.506,3,10,loh,logistic_l1,4,6
0.7449186991869918,0.7287239820042664,0.7114950316169828,0.7378048780487805,0.6851851851851852,0.7202380952380952,0.21052556212007095,326,0.5030674846625767,0.437,3,20,loh,logistic_l1,11,9
0.7485320686540199,0.7243400756001549,0.6961758506473954,0.7195121951219512,0.6728395061728395,0.7044776119402985,0.20889556799942208,326,0.5030674846625767,0.454,3,30,loh,logistic_l1,19,11
0.7014942225902367,0.6478091932006074,0.665644171779141,0.6625766871165644,0.6687116564417178,0.6646153846153846,0.21995450690227394,326,0.5,0.542,4,all,loh,logistic_l1,1415,96
0.654936203846588,0.6222353453854168,0.588957055214724,0.6073619631901841,0.5705521472392638,0.5963855421686747,0.2401429100998722,326,0.5,0.54,4,10,loh,logistic_l1,3,7
0.6837291580413263,0.6496045126639702,0.6503067484662577,0.6993865030674846,0.6012269938650306,0.6666666666666666,0.2340769785233228,326,0.5,0.505,4,20,loh,logistic_l1,10,10
0.6957732695999097,0.646463931683592,0.647239263803681,0.6073619631901841,0.6871165644171779,0.6325878594249201,0.23179135125845274,326,0.5,0.578,4,30,loh,logistic_l1,19,11
0.8236965653570546,0.8978430874694026,0.7280701754385965,0.6666666666666666,0.7894736842105263,0.7493403693931399,0.1843630799158489,327,0.6513761467889908,0.577,0,all,wgd,random_forest,1415,96
0.8038464706366856,0.8758437031496454,0.7286879169755374,0.6854460093896714,0.7719298245614035,0.7584415584415585,0.17614681861777118,327,0.6513761467889908,0.551,0,10,wgd,random_forest,1,9
0.8067292644757433,0.8834213968495148,0.7111440573264146,0.6854460093896714,0.7368421052631579,0.7506426735218509,0.17612734777221722,327,0.6513761467889908,0.549,0,20,wgd,random_forest,2,18
0.8209785025945144,0.8945855703129801,0.7260316283666914,0.6713615023474179,0.7807017543859649,0.7506561679790026,0.17087825786429184,327,0.6513761467889908,0.578,0,30,wgd,random_forest,2,28
0.8107524201254726,0.8677038863288553,0.7367983713490383,0.6948356807511737,0.7787610619469026,0.7668393782383419,0.18456014442384427,326,0.6533742331288344,0.579,1,all,wgd,random_forest,1356,96
0.7963770825543229,0.8665125578458879,0.7251443765839877,0.7511737089201878,0.6991150442477876,0.7862407862407862,0.17320116175048758,326,0.6533742331288344,0.549,1,10,wgd,random_forest,2,8
0.7958369687149447,0.8684947652281336,0.7264115667456064,0.7183098591549296,0.7345132743362832,0.7727272727272727,0.1740498827013182,326,0.6533742331288344,0.599,1,20,wgd,random_forest,2,18
0.7979143296356309,0.8643762790271854,0.72433420582492,0.7230046948356808,0.7256637168141593,0.7738693467336684,0.17454567099824542,326,0.6533742331288344,0.583,1,30,wgd,random_forest,2,28
0.7879845444347501,0.8695070493048433,0.730566288586979,0.7089201877934272,0.7522123893805309,0.7704081632653061,0.18945729544510476,326,0.6533742331288344,0.571,2,all,wgd,random_forest,1402,96
0.755868544600939,0.8438358699068094,0.6959782292575512,0.7370892018779343,0.6548672566371682,0.7677261613691931,0.19037527004302832,326,0.6533742331288344,0.498,2,10,wgd,random_forest,2,8
0.7581951888321076,0.8425621515540821,0.7050978436993643,0.7464788732394366,0.6637168141592921,0.775609756097561,0.18877466235718876,326,0.6533742331288344,0.515,2,20,wgd,random_forest,2,18
0.7660060658938884,0.8520915795847367,0.6994058747766837,0.7793427230046949,0.6194690265486725,0.7867298578199052,0.18438137016538714,326,0.6533742331288344,0.516,2,30,wgd,random_forest,2,28
0.8078648884457185,0.8860632237291302,0.7224438073870955,0.6572769953051644,0.7876106194690266,0.7427055702917772,0.17690552147239264,326,0.6533742331288344,0.646,3,all,wgd,random_forest,1277,96
0.7668785574805768,0.8484503919401123,0.7178320661431716,0.7276995305164319,0.7079646017699115,0.773067331670823,0.18798077121431206,326,0.6533742331288344,0.538,3,10,wgd,random_forest,1,9
0.7936765133574307,0.8697905776267622,0.7289459470688437,0.6525821596244131,0.8053097345132744,0.7433155080213903,0.1820284146166455,326,0.6533742331288344,0.583,3,20,wgd,random_forest,1,19
0.7915991524367443,0.8711593370943806,0.730566288586979,0.7089201877934272,0.7522123893805309,0.7704081632653061,0.17953783788692904,326,0.6533742331288344,0.55,3,30,wgd,random_forest,1,29
0.7543859649122807,0.8158833354686321,0.6985683548493876,0.7216981132075472,0.6754385964912281,0.7611940298507462,0.1946584806450647,326,0.6503067484662577,0.568,4,all,wgd,random_forest,1380,96
0.7286494538232374,0.8167154374214436,0.6684872558755379,0.8018867924528302,0.5350877192982456,0.7816091954022989,0.1937887237265234,326,0.6503067484662577,0.536,4,10,wgd,random_forest,2,8
0.7511585567692818,0.8211966165252342,0.7137123469049984,0.7783018867924528,0.6491228070175439,0.7913669064748201,0.18714654587743795,326,0.6503067484662577,0.561,4,20,wgd,random_forest,2,18
0.7558755379013571,0.8277176843452961,0.7258771929824561,0.75,0.7017543859649122,0.7851851851851852,0.18619765772092137,326,0.6503067484662577,0.58,4,30,wgd,random_forest,2,28
0.7719212928325603,0.742890136420808,0.6973477480173575,0.7300613496932515,0.6646341463414634,0.7062314540059347,0.20553598810186569,327,0.4984709480122324,0.486,0,all,cin,random_forest,1395,96
0.7539652850516235,0.7200585993283514,0.6727704623672004,0.6687116564417178,0.676829268292683,0.6707692307692308,0.20145438917813047,327,0.4984709480122324,0.504,0,10,cin,random_forest,1,9
0.7751758192428551,0.7547650569562476,0.7001907825826724,0.6625766871165644,0.7378048780487805,0.6878980891719745,0.19486607457481867,327,0.4984709480122324,0.527,0,20,cin,random_forest,1,19
0.7761110279814456,0.7594671857387966,0.7126851713302409,0.7607361963190185,0.6646341463414634,0.7251461988304093,0.19493530487946165,327,0.4984709480122324,0.468,0,30,cin,random_forest,1,29
0.7765252738153487,0.7704642628088314,0.6809815950920246,0.7300613496932515,0.6319018404907976,0.695906432748538,0.1964823190184049,326,0.5,0.472,1,all,cin,random_forest,1380,96
0.745530505476307,0.7262038174340449,0.6748466257668712,0.6503067484662577,0.6993865030674846,0.6666666666666666,0.2037099140370026,326,0.5,0.509,1,10,cin,random_forest,0,10
0.7445142835635515,0.7403092114043235,0.6779141104294478,0.6809815950920245,0.6748466257668712,0.6788990825688074,0.2034741773414028,326,0.5,0.491,1,20,cin,random_forest,0,20
