ModelID,UMAP1,UMAP2,wgd,cin,loh
ACH-000258,5.6088157,10.153487,1,0,0
ACH-000259,1.7721884,5.5555954,0,0,1
ACH-000261,3.8103123,6.353042,1,1,1
ACH-000262,4.2372456,10.185259,1,1,1
ACH-000263,4.610369,7.7121577,0,0,0
ACH-000264,-0.37362593,10.598087,1,0,1
ACH-000265,6.902322,7.0905967,1,0,1
ACH-000266,0.09911936,10.839475,1,0,0
ACH-000267,6.8919272,9.741061,0,0,1
ACH-000268,2.8602824,5.6198153,1,1,0
ACH-000269,6.2025394,9.936755,1,1,1
ACH-000270,0.6079088,8.583375,1,0,1
ACH-000271,3.0673344,8.718759,0,0,0
ACH-000272,8.496961,8.924375,1,0,0
ACH-000273,3.2556143,9.400557,1,1,1
ACH-000274,7.249417,8.591826,0,0,1
ACH-000275,9.860799,7.3106074,0,0,0
ACH-000278,5.41459,6.0195823,0,0,1
ACH-000279,5.138485,8.456208,1,1,1
ACH-000280,4.2326856,10.314003,1,1,1
ACH-000281,1.8116462,9.681388,1,1,1
ACH-000284,9.695641,7.2493305,0,0,0
ACH-000285,0.12760057,11.083986,0,0,0
ACH-000286,-0.338125,10.243628,1,1,1
ACH-000287,1.1316437,6.326102,0,0,0
ACH-000288,3.3578663,8.384006,1,1,1
ACH-000289,4.3370647,8.991384,0,0,0
ACH-000290,4.9292994,6.0769877,1,0,0
ACH-000294,3.5316072,5.0497847,1,0,0
ACH-000295,5.729398,6.4613357,1,1,0
ACH-000296,4.7081113,8.75843,1,0,1
ACH-000297,3.6537104,7.672895,1,1,1
ACH-000298,4.8421445,6.545863,1,1,1
ACH-000299,6.692345,7.159593,0,0,0
ACH-000301,8.328759,2.8238647,1,0,1
ACH-000302,5.7625265,7.2391405,1,1,1
ACH-000303,-0.17140123,7.040307,1,1,1
ACH-000304,5.4597564,10.809449,0,0,0
ACH-000305,8.491797,-0.8676297,1,1,1
ACH-000307,0.40127498,10.6925955,1,1,1
ACH-000308,6.0950346,5.5213537,1,1,1
ACH-000309,0.494477,10.264069,1,1,1
ACH-000310,6.0782385,9.677964,0,0,0
ACH-000311,0.70903414,10.065145,1,1,0
ACH-000312,2.103963,9.742683,1,0,0
ACH-000313,4.47918,7.6431904,0,0,0
ACH-000314,0.9541548,9.8713255,1,1,1
ACH-000315,4.1471167,7.5944033,0,0,0
ACH-000316,3.7051873,11.390735,0,0,0
ACH-000318,8.62241,-0.9203871,1,1,1
ACH-000319,-14.530498,5.031998,1,1,1
ACH-000320,2.0273075,9.691919,1,1,1
ACH-000321,5.4748764,7.2520647,0,0,0
ACH-000325,8.243626,2.7481904,1,0,0
ACH-000326,4.8962493,6.872045,0,0,0
ACH-000327,6.207811,10.313209,1,1,1
ACH-000329,4.0552506,8.922816,0,0,0
ACH-000330,5.120143,4.2344694,1,1,1
ACH-000331,8.664653,-0.9874715,1,0,1
ACH-000332,0.13479182,9.814041,1,1,1
ACH-000334,4.349515,7.1486206,1,1,0
ACH-000335,7.332471,5.7201896,1,1,0
ACH-000336,7.480772,8.418931,0,0,0
ACH-000338,8.563904,-0.7737372,1,1,0
ACH-000339,-0.49215138,9.976589,1,1,1
ACH-000340,4.685021,6.1404567,0,0,0
ACH-000341,3.9315612,6.2575336,0,0,0
ACH-000342,1.0695655,6.1306677,1,1,0
ACH-000344,0.16787568,10.812997,1,0,1
ACH-000345,-14.495511,4.750322,0,0,0
ACH-000346,5.99481,10.180611,0,0,0
ACH-000347,-0.5026547,10.584493,1,1,1
ACH-000349,6.553718,8.693778,1,1,1
ACH-000350,0.2666555,9.772409,1,1,1
ACH-000351,5.1692977,4.1867137,1,0,1
ACH-000352,9.720953,8.007718,1,1,1
ACH-000353,3.1827395,4.398941,1,1,1
ACH-000354,-0.07375236,10.388485,1,1,1
ACH-000355,4.7708335,6.1993103,1,1,1
ACH-000359,7.0679584,7.3530836,1,1,1
ACH-000360,5.1975727,4.757849,1,1,0
ACH-000361,5.7776036,9.767357,1,1,1
ACH-000362,7.2522163,6.3676634,0,0,0
ACH-000363,4.573359,6.379579,0,0,0
ACH-000364,4.4603286,9.831624,1,1,1
ACH-000365,8.7522955,-0.7303925,0,0,0
ACH-000368,3.259762,11.590897,1,0,0
ACH-000369,8.448306,-0.9304232,1,1,0
ACH-000370,2.9914343,9.133156,1,1,1
ACH-000371,2.8755672,8.516113,0,0,0
ACH-000372,3.133086,8.002203,1,0,0
ACH-000373,0.081691615,10.270585,0,0,0
ACH-000374,4.3101416,5.1988044,1,1,1
ACH-000376,2.8952146,9.120839,1,0,0
ACH-000377,4.7959905,7.270279,1,0,1
ACH-000378,0.6461179,10.377222,1,1,1
ACH-000379,3.5091455,8.536008,1,1,1
ACH-000380,3.5629249,5.763765,1,1,1
ACH-000381,0.068798944,9.794103,1,1,1
ACH-000383,1.6384262,5.9367733,1,1,1
ACH-000384,8.18048,10.461331,1,0,0
ACH-000385,8.494801,8.862106,1,1,1
ACH-000386,8.594135,8.197411,0,0,0
ACH-000387,5.8300433,7.631478,0,0,0
ACH-000388,-0.04154987,10.948408,0,0,0
ACH-000389,4.508347,11.408336,1,0,0
ACH-000390,5.005525,6.927106,1,1,1
ACH-000392,1.0078701,6.1722693,1,1,1
ACH-000393,3.4706905,10.293206,1,1,1
ACH-000394,3.4950686,9.04888,1,1,1
ACH-000395,2.1673818,5.8503838,1,1,1
ACH-000396,3.4950902,4.7260995,1,1,0
ACH-000398,2.2147276,5.8607006,0,0,0
ACH-000400,0.41788816,9.597879,1,1,0
ACH-000401,3.580898,10.774838,1,1,1
ACH-000402,4.9929433,6.8846965,0,0,0
ACH-000403,0.09089676,10.106924,1,1,1
ACH-000404,5.7953205,10.067285,0,0,1
ACH-000405,3.8555534,11.653112,0,0,0
ACH-000406,2.8660924,7.597694,1,1,1
ACH-000407,3.1324246,6.726822,1,1,1
ACH-000408,5.4871182,3.7972553,1,1,1
ACH-000409,5.523674,7.734071,1,1,1
ACH-000412,-0.3393999,9.740441,0,1,1
ACH-000414,0.9109337,9.975321,0,0,0
ACH-000415,5.805596,6.2020655,1,1,1
ACH-000416,3.6057856,6.027615,1,0,1
ACH-000417,0.9611127,9.0833845,1,1,1
ACH-000418,1.9496199,5.282212,0,0,0
ACH-000420,3.8945737,8.210163,0,1,1
ACH-000421,-0.2387109,9.7507,0,0,1
ACH-000422,3.5828135,11.266894,1,0,1
ACH-000423,3.205716,4.5087748,1,1,1
ACH-000424,5.223958,7.7290354,1,1,0
ACH-000425,5.519279,10.340755,1,1,1
ACH-000426,0.21425301,11.070515,1,0,0
ACH-000428,-14.460338,4.9771166,0,0,0
ACH-000430,5.7031374,8.0060425,1,1,1
ACH-000432,6.6786013,8.139685,0,0,0
ACH-000434,4.087524,5.777232,1,1,1
ACH-000435,4.1402187,7.9039507,1,1,1
ACH-000436,7.282391,8.597919,1,1,0
