feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
UNC5D (137970)_damaging,0,0.03504809114121968,116.75,39.08431057769003,0.0,damaging,UNC5D
ABCB5 (340273)_damaging,0,0.03752204368182118,117.2,71.94928769626563,0.0,damaging,ABCB5
FXR2 (9513)_damaging,0,0.039773380099612676,120.0,115.20416659131735,0.0,damaging,FXR2
HNRNPUL1 (11100)_damaging,0,0.032636669942364124,122.75,57.45360447062192,0.0,damaging,HNRNPUL1
VWA3B (200403)_damaging,0,0.0332411566341319,123.33333333333333,57.01169470672954,0.0,damaging,VWA3B
RHBDF2 (79651)_damaging,0,0.0342174460627746,124.0,,0.0,damaging,RHBDF2
ZNF668 (79759)_damaging,0,0.029812977849264052,124.0,14.142135623730951,0.0,damaging,ZNF668
PTPRB (5787)_damaging,0,0.034504867040898404,125.5,71.68681887209112,0.0,damaging,PTPRB
CIT (11113)_damaging,0,0.03178652836281647,126.0,49.57822102496217,0.0,damaging,CIT
PI4KA (5297)_damaging,0,0.0304343813060777,126.0,,0.0,damaging,PI4KA
RXFP1 (59350)_damaging,0,0.0317537554486141,132.0,61.00819617067858,0.0,damaging,RXFP1
CNTN3 (5067)_damaging,0,0.03146198490231083,132.66666666666666,67.3077509157254,0.0,damaging,CNTN3
NRG3 (10718)_damaging,0,0.02961428954067195,134.75,38.317750455891854,0.0,damaging,NRG3
DNMT1 (1786)_damaging,0,0.030367150703129276,136.0,62.508666065861085,0.0,damaging,DNMT1
CFAP210 (129881)_damaging,0,0.02990714738153495,137.0,18.384776310850235,0.0,damaging,CFAP210
ATP8B1 (5205)_damaging,0,0.02713892357463015,139.0,19.79898987322333,0.0,damaging,ATP8B1
KMT2D (8085)_damaging,0,0.02824355747383614,139.0,56.280547261020835,0.0,damaging,KMT2D
KIF4A (24137)_damaging,0,0.0252682095845286,141.0,,0.0,damaging,KIF4A
SBF2 (81846)_damaging,0,0.03078466285940705,142.25,84.75995516752,0.0,damaging,SBF2
VIT (5212)_damaging,0,0.02543370144617455,142.5,48.79036790187178,0.0,damaging,VIT
ZNF518A (9849)_damaging,0,0.030914924326585456,142.8,95.20871808820871,0.0,damaging,ZNF518A
