feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
PTEN (5728)_hotspot,1,0.00173447602804866,137.2,80.55867426913132,0.2,hotspot,PTEN
KNOP1 (400506)_damaging,1,0.0016262108334121402,139.0,76.56043364558484,0.2,damaging,KNOP1
C2orf81 (388963)_hotspot,1,0.0019944961406995598,142.0,80.32745483332582,0.2,hotspot,C2orf81
ADGRL4 (64123)_damaging,1,0.00216240750710298,159.4,200.87881919206913,0.2,damaging,ADGRL4
AHNAK2 (113146)_damaging,1,0.0022830371875839197,161.0,163.53440005087614,0.2,damaging,AHNAK2
MTOR (2475)_hotspot,1,0.0015856508411287,167.8,102.14548448169407,0.2,hotspot,MTOR
CD36 (948)_damaging,1,0.0016567846866389403,191.4,183.1346499163935,0.2,damaging,CD36
ABCA13 (154664)_damaging,1,0.00170703461112796,193.2,145.3795033696291,0.2,damaging,ABCA13
CTNNB1 (1499)_hotspot,1,0.0012731703924126,198.4,108.83381827354951,0.2,hotspot,CTNNB1
ATR (545)_damaging,1,0.0014982184836702399,200.6,123.29760743826297,0.2,damaging,ATR
CACNA1I (8911)_damaging,1,0.00151853555456672,204.2,198.55402287538774,0.2,damaging,CACNA1I
ZBTB20 (26137)_damaging,1,0.0013279206913753999,205.0,105.05950694725348,0.2,damaging,ZBTB20
HELZ2 (85441)_damaging,1,0.00155105410451908,212.2,180.75591276636015,0.2,damaging,HELZ2
PTPN23 (25930)_damaging,1,0.0014596313604836402,221.4,186.0868077000624,0.2,damaging,PTPN23
PDCD11 (22984)_damaging,1,0.0016086717719093748,230.0,138.06520198804623,0.2,damaging,PDCD11
RASA1 (5921)_damaging,1,0.0013933689233598002,242.6,220.7256215304422,0.2,damaging,RASA1
PKD1 (5310)_damaging,1,0.00137004903487524,243.8,186.2543959212775,0.2,damaging,PKD1
RYR2 (6262)_damaging,1,0.00216245738840056,246.2,411.7938804790572,0.2,damaging,RYR2
CCNB3 (85417)_damaging,1,0.0014666378891576202,253.2,212.1596097281478,0.2,damaging,CCNB3
MYH9 (4627)_damaging,1,0.0013554459589606798,293.0,284.7112572414375,0.2,damaging,MYH9
AXDND1 (126859)_damaging,1,0.00112642956569836,295.6,200.3379644500762,0.2,damaging,AXDND1
ACVR2A (92)_damaging,1,0.00129437463124696,317.4,389.5385731862764,0.2,damaging,ACVR2A
HERC1 (8925)_damaging,1,0.0015911809659907802,381.6,366.0489038366322,0.2,damaging,HERC1
TRPM6 (140803)_damaging,1,0.00109850939336916,479.2,381.26722911889505,0.2,damaging,TRPM6
MYC (4609)_hotspot,0,0.0022616119649884,74.0,,0.0,hotspot,MYC
NRG3 (10718)_damaging,0,0.0019145418923363,90.66666666666667,21.501937897160182,0.0,damaging,NRG3
SIN3A (25942)_damaging,0,0.00183182795359346,103.4,32.074912314767126,0.0,damaging,SIN3A
TEX2 (55852)_damaging,0,0.0016376055607734,104.0,,0.0,damaging,TEX2
