ModelID,U_bin_1,V_bin_1,U_bin_2,V_bin_2,U_bin_3,V_bin_3,U_cont_1,V_cont_1,lineage
ACH-002160,0.8446204217724687,0.7224668271854708,-0.07934358398029688,-0.859795074410028,0.16835088377252094,1.4391022762642052,0.8361334389049897,-0.043154579660365955,Bone
ACH-002161,-0.8975841324886292,-1.3429165982502402,-0.021321546520501403,-0.3327075136823358,0.06526653983050847,-0.031296971208432,-0.9025242847683466,-1.1699055220155645,Esophagus/Stomach
ACH-002162,0.5713808439975033,-1.3429165982502402,-0.1105888284049087,-0.3327075136823358,0.09506092486707159,-0.031296971208432,0.5624933686647655,-0.7816577495460783,Skin
ACH-002163,0.941105914902805,-1.3429165982502402,0.15823040414155076,-0.3327075136823358,-0.08800261235860943,-0.031296971208432,0.9739912114836905,-0.7321259784120379,Breast
ACH-002164,-0.3028971963674342,-0.20916328827952424,-0.12122175849709084,0.3415434812952128,0.04475168839993865,-1.4581443235301932,-0.3132776413555383,-1.1738852565413247,Pancreas
ACH-002165,0.8717714953453446,1.8562201371561868,-0.1557698651713782,-0.18554407943247947,-0.08040783638006467,0.012254923942444096,0.8632581110988913,1.0691922526690143,Skin
ACH-002166,0.7488150102853094,1.8562201371561868,0.47829364760067516,-0.18554407943247947,-0.2768141959225669,0.012254923942444096,0.7927569685876357,0.35162626695634724,Skin
ACH-002168,-0.0664868753081166,0.1747706709864446,-0.09534066871880932,1.5189226782379108,0.043046939869410814,0.0749588170593335,-0.07781566930220968,0.15210760011660476,Kidney
ACH-002169,-0.798178270805044,-1.3429165982502402,-0.13073577549197107,-0.3327075136823358,-0.08580679538307376,-0.031296971208432,-0.8155516142121798,-0.9548239941900849,Lung
ACH-002170,-0.709112457374674,-1.3429165982502402,-0.01617179676789154,-0.3327075136823358,-0.009574878300652769,-0.031296971208432,-0.7065517594170183,-1.4541324613649946,Lung
ACH-002171,-0.9876024355667992,-1.3429165982502402,-0.06246847941437912,-0.3327075136823358,0.02153633794520327,-0.031296971208432,-1.0002476493294017,-1.38286059618417,Lung
ACH-002174,-0.7841407541965603,0.7224668271854708,-0.05697053767302386,-0.859795074410028,-0.06552347003085984,1.4391022762642052,-0.7979911925925199,-0.5462562208299401,Lung
ACH-002175,-0.09007467913975109,-0.20916328827952424,0.020275431508080505,0.3415434812952128,-0.37935724342922167,-1.4581443235301932,-0.08956621350972012,-0.40136366070109203,Lung
ACH-002177,-0.1871652447513876,-1.3429165982502402,0.03764486880662936,-0.3327075136823358,-0.0917032929312564,-0.031296971208432,-0.18980568319970406,-0.6256495609559488,Lung
ACH-002179,-0.8786849399343857,-1.3429165982502402,0.25081738748908283,-0.3327075136823358,-0.05878569685351939,-0.031296971208432,-0.8538490424356943,-1.265084864672526,Breast
