feature,mutated_and_positive,mutated_and_negative,unmutated_and_positive,unmutated_and_negative,test,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,fdr_q_value
HCN1 (348980)_damaging,8,10,808,805,Chi-square,0.7970297029702971,0.324779406687222,2.0028194956563627,0.6336161320837939,0.7912331571935052
AHNAK (79026)_damaging,8,10,808,805,Chi-square,0.7970297029702971,0.324779406687222,2.0028194956563627,0.6336161320837939,0.7912331571935052
MRC1 (4360)_damaging,8,10,808,805,Chi-square,0.7970297029702971,0.324779406687222,2.0028194956563627,0.6336161320837939,0.7912331571935052
MED23 (9439)_damaging,8,10,808,805,Chi-square,0.7970297029702971,0.324779406687222,2.0028194956563627,0.6336161320837939,0.7912331571935052
SULF1 (23213)_damaging,8,10,808,805,Chi-square,0.7970297029702971,0.324779406687222,2.0028194956563627,0.6336161320837939,0.7912331571935052
SVEP1 (79987)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
ADAMTS12 (81792)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
MECOM (2122)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
VWDE (221806)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
SYTL2 (54843)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
MROH2B (133558)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
KCNG2 (26251)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
PTPRD (5789)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
MED12L (116931)_damaging,10,8,806,807,Chi-square,1.2515508684863523,0.49806024348385786,3.07139157550167,0.6373466436388526,0.7912331571935052
NOTCH4 (4855)_damaging,9,11,807,804,Chi-square,0.815140250084488,0.3465853227577622,1.9543772452955983,0.6507359403152247,0.801405339669648
DOCK8 (81704)_damaging,9,11,807,804,Chi-square,0.815140250084488,0.3465853227577622,1.9543772452955983,0.6507359403152247,0.801405339669648
ROCK1 (6093)_damaging,9,11,807,804,Chi-square,0.815140250084488,0.3465853227577622,1.9543772452955983,0.6507359403152247,0.801405339669648
PCNT (5116)_damaging,9,11,807,804,Chi-square,0.815140250084488,0.3465853227577622,1.9543772452955983,0.6507359403152247,0.801405339669648
ATP8A2 (51761)_damaging,11,9,805,806,Chi-square,1.2237405106970325,0.5104038648230328,2.878141686827504,0.6547146414739499,0.8046990712936795
ZFHX4 (79776)_damaging,25,22,791,793,Chi-square,1.139236869325365,0.6390887817144373,2.0199757430182887,0.6601004750704935,0.8097057517266292
COL6A3 (1293)_damaging,10,12,806,803,Chi-square,0.8302315963606286,0.36627885119211634,1.9120962400229269,0.6655945228150376,0.8100035908814166
ABCA9 (10350)_damaging,10,12,806,803,Chi-square,0.8302315963606286,0.36627885119211634,1.9120962400229269,0.6655945228150376,0.8100035908814166
MAP1A (4130)_damaging,10,12,806,803,Chi-square,0.8302315963606286,0.36627885119211634,1.9120962400229269,0.6655945228150376,0.8100035908814166
CDH10 (1008)_damaging,10,12,806,803,Chi-square,0.8302315963606286,0.36627885119211634,1.9120962400229269,0.6655945228150376,0.8100035908814166
LZTR1 (8216)_damaging,12,10,804,805,Chi-square,1.2014925373134329,0.521688503148935,2.723385711531519,0.6698081374961455,0.8119285281633041
SORL1 (6653)_damaging,12,10,804,805,Chi-square,1.2014925373134329,0.521688503148935,2.723385711531519,0.6698081374961455,0.8119285281633041
PIEZO2 (63895)_damaging,11,13,805,802,Chi-square,0.8430004777830865,0.3841790199328128,1.8747937285169436,0.6786459140101875,0.817821345594308
ALMS1 (7840)_damaging,11,13,805,802,Chi-square,0.8430004777830865,0.3841790199328128,1.8747937285169436,0.6786459140101875,0.817821345594308
COL4A6 (1288)_damaging,11,13,805,802,Chi-square,0.8430004777830865,0.3841790199328128,1.8747937285169436,0.6786459140101875,0.817821345594308
MYH9 (4627)_damaging,13,11,803,804,Chi-square,1.183289935469263,0.5320668234080983,2.5964861554376584,0.6830831095321545,0.8199655225317886
NRXN1 (9378)_damaging,13,11,803,804,Chi-square,1.183289935469263,0.5320668234080983,2.5964861554376584,0.6830831095321545,0.8199655225317886
COL14A1 (7373)_damaging,12,14,804,801,Chi-square,0.8539445628997868,0.400542061796119,1.8415810993681707,0.6902262270267205,0.8221420503387772
BAP1 (8314)_damaging,12,14,804,801,Chi-square,0.8539445628997868,0.400542061796119,1.8415810993681707,0.6902262270267205,0.8221420503387772
KEL (3792)_damaging,12,14,804,801,Chi-square,0.8539445628997868,0.400542061796119,1.8415810993681707,0.6902262270267205,0.8221420503387772
FER1L6 (654463)_damaging,12,14,804,801,Chi-square,0.8539445628997868,0.400542061796119,1.8415810993681707,0.6902262270267205,0.8221420503387772
FAT1 (2195)_damaging,31,28,785,787,Chi-square,1.1099636032757052,0.6612476405964586,1.8568464782468233,0.6942961413903275,0.8229159859117098
UNC80 (285175)_damaging,14,12,802,803,Chi-square,1.1681213632585203,0.5416608883901497,2.490406153708307,0.694877193938413,0.8229159859117098
STAB2 (55576)_damaging,14,12,802,803,Chi-square,1.1681213632585203,0.5416608883901497,2.490406153708307,0.694877193938413,0.8229159859117098
FRAS1 (80144)_damaging,13,15,803,800,Chi-square,0.8634288086342881,0.41557612225221596,1.811775842321751,0.7005902615840894,0.8265089701670806
FAT2 (2196)_damaging,13,15,803,800,Chi-square,0.8634288086342881,0.41557612225221596,1.811775842321751,0.7005902615840894,0.8265089701670806
UNC79 (57578)_damaging,15,13,801,802,Chi-square,1.1552866609046384,0.550569962328906,2.4003046938488546,0.7054464088868053,0.8290674938726835
CFAP47 (286464)_damaging,15,13,801,802,Chi-square,1.1552866609046384,0.550569962328906,2.4003046938488546,0.7054464088868053,0.8290674938726835
DNMT3A (1788)_damaging,14,16,802,799,Chi-square,0.8717269326683291,0.4294520995939913,1.784843901613915,0.7099351327902591,0.8327566101361025
DMD (1756)_damaging,16,14,800,801,Chi-square,1.1442857142857144,0.558875905919355,2.3227414920289253,0.7149888611590236,0.8370932207497487
RYR3 (6263)_damaging,17,15,799,800,Chi-square,1.1347517730496455,0.5666470332668607,2.2552039215674977,0.723660553916055,0.8456412154662991
HMCN2 (256158)_damaging,16,18,800,797,Chi-square,0.8855555555555555,0.4542735346454449,1.737983729610671,0.7261569901602598,0.8469543722663143
CCDC168 (643677)_damaging,18,16,798,799,Chi-square,1.1264097744360901,0.5739409422928221,2.195813532147498,0.7315862258519616,0.8500728838995486
