gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_ridge,gain_over_lineage,gain_over_self
TAOK1 (57551),0.2710678279399872,True,-0.049195672789720375,0.3895570981977301,0.05540010838875735,0.521623835495028,0.1320667372972979,0.46622372710627064
FOSL1 (8061),0.34530627727508545,True,-0.05754522814287388,0.2818560182235039,0.41324710308060175,0.5202755376077784,0.23841951938427453,0.1070284345271767
BCL6 (604),0.2646372318267822,True,-0.07087878799656024,0.25237774001501795,0.3617356995829027,0.518958580564765,0.266580840549747,0.15722288098186227
MEF2C (4208),0.2579197585582733,True,-0.06522600305054478,0.36911493116910243,0.3977136961341787,0.5181346107556635,0.14901967958656104,0.1204209146214848
UBIAD1 (29914),0.4656791388988495,True,-0.057656886800797856,0.21731686862052893,-0.028561055201395145,0.5110520046957887,0.2937351360752598,0.5396130598971839
DLD (1738),0.3212568163871765,True,-0.08619776803978856,0.3981328659847671,-0.0911587445419941,0.5096856479249133,0.11155278194014623,0.6008443924669075
NHLRC2 (374354),0.5515820384025574,True,-0.07726982339291846,0.25539445337261774,-0.05462540848762722,0.509634279510186,0.2542398261375683,0.5642596879978132
PPM1G (5496),0.27396196126937866,True,-0.08444642843774149,0.3667325759176604,-0.04892367169498999,0.5094162127990964,0.14268363688143604,0.5583398844940864
SEPSECS (51091),0.47947582602500916,True,-0.01950013583381739,0.36908359077711217,-0.02512724076390833,0.5094151692893856,0.1403315785122734,0.534542410053294
TXNRD1 (7296),0.47513896226882935,True,-0.12044047097017294,0.32583515945037067,0.08495038282640263,0.5083056165280695,0.18247045707769882,0.42335523370166683
PKN2 (5586),0.3190014064311981,True,-0.06381515649262579,0.32082134261912837,0.15876044644617318,0.5075745682985423,0.18675322567941394,0.34881412185236915
E2F3 (1871),0.33529967069625854,True,-0.07710913244505839,0.2883406982565419,0.3367057539363652,0.5052242589492087,0.21688356069266684,0.16851850501284354
RFK (55312),0.31445810198783875,True,-0.0493883464836621,0.4518586501885034,0.05636490778117227,0.5039039439978928,0.05204529380938944,0.4475390362167206
