roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept,held_out_lineage
0.5800139762403914,0.7873373238927117,0.517120894479385,0.8490566037735849,0.18518518518518517,0.75,0.23081049016348615,80,0.6625,0.47,10,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1498,1867,Head and Neck
0.6124794745484401,0.5385951118127519,0.5459770114942528,0.3333333333333333,0.7586206896551724,0.4,0.23930898961719888,50,0.42,0.46,11,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1528,1906,Kidney
0.4852941176470588,0.6841765119598213,0.5661764705882353,0.8823529411764706,0.25,0.7894736842105263,0.23196555120599352,25,0.68,0.479,12,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1553,1926,Liver
0.5759064327485379,0.8902605659094021,0.6049122807017544,0.9298245614035088,0.28,0.9137931034482759,0.1938878474390544,196,0.8724489795918368,0.458,13,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1382,1438,Lung
0.6766169154228856,0.33785249054201466,0.6212935323383084,0.76,0.48258706467661694,0.25675675675675674,0.21578017544613987,226,0.11061946902654868,0.416,14,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1352,1457,Lymphoid
0.740909090909091,0.2887390026487771,0.6553030303030303,0.7272727272727273,0.5833333333333334,0.36363636363636365,0.21215427563537106,71,0.15492957746478872,0.495,15,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1507,1888,Myeloid
0.8214285714285714,0.8178363409271758,0.8149350649350648,0.8571428571428571,0.7727272727272727,0.8421052631578947,0.2019067719962262,50,0.56,0.488,16,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1528,1839,Ovary/Fallopian Tube
0.553921568627451,0.7858521956150937,0.48284313725490197,0.8823529411764706,0.08333333333333333,0.8,0.2213922584665105,46,0.7391304347826086,0.475,17,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1532,1923,Pancreas
0.7285714285714285,0.3334889069264069,0.675,0.75,0.6,0.42857142857142855,0.2064145963880166,43,0.18604651162790697,0.46,18,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1535,1924,Peripheral Nervous System
0.391025641025641,0.768339177970568,0.48717948717948717,0.3076923076923077,0.6666666666666666,0.4444444444444444,0.34461466944582664,32,0.8125,0.424,19,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1546,1944,Pleura
0.5089947089947089,0.5407115400481188,0.5384920634920635,0.4603174603174603,0.6166666666666667,0.5043478260869565,0.2636742817883058,123,0.5121951219512195,0.446,20,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1455,1686,Skin
0.6097308488612837,0.40796956886794633,0.5900621118012422,0.5714285714285714,0.6086956521739131,0.47058823529411764,0.2253744069463723,67,0.31343283582089554,0.432,21,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1511,1901,Soft Tissue
0.803030303030303,0.8332403707403708,0.6401515151515151,0.9166666666666666,0.36363636363636365,0.7333333333333333,0.2108114851936554,23,0.5217391304347826,0.443,22,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1555,1938,Thyroid
0.9387755102040817,0.7295918367346939,0.9047619047619047,0.8571428571428571,0.9523809523809523,0.8571428571428571,0.15182247353220485,28,0.25,0.487,23,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1550,1492,Uterus
