roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model,n_features
0.663009522375701,0.6548813928653572,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.24265503165919086,326,0.5,0.597,2,50,cin,elastic_net,50
0.6601302269562271,0.6173163421844251,0.6226993865030674,0.7361963190184049,0.50920245398773,0.6611570247933884,0.23346894923128658,326,0.5,0.457,3,all,cin,elastic_net,1220
0.6338025518461365,0.5821362120355598,0.6349693251533742,0.754601226993865,0.5153374233128835,0.673972602739726,0.23437216657669832,326,0.5,0.389,3,5,cin,elastic_net,5
0.6312619970642478,0.5843667050615221,0.638036809815951,0.7239263803680982,0.5521472392638037,0.6666666666666666,0.23728939222284154,326,0.5,0.445,3,10,cin,elastic_net,10
0.6011517181677895,0.5628686599122346,0.6134969325153374,0.6993865030674846,0.5276073619631901,0.6440677966101694,0.2588501715442725,326,0.5,0.454,3,20,cin,elastic_net,20
0.6103918100041402,0.5612094354824149,0.6134969325153374,0.7300613496932515,0.49693251533742333,0.6538461538461539,0.27227392443759374,326,0.5,0.474,3,50,cin,elastic_net,50
0.6885162601626017,0.6638848832113635,0.6342968985245407,0.7439024390243902,0.5246913580246914,0.6721763085399449,0.22528249339429887,326,0.5030674846625767,0.451,4,all,cin,elastic_net,1345
0.6445159590484794,0.5982021432210631,0.6222523336344474,0.6951219512195121,0.5493827160493827,0.6495726495726496,0.2305992986523182,326,0.5030674846625767,0.352,4,5,cin,elastic_net,5
0.6614724480578139,0.6132531478282214,0.6316245106895514,0.676829268292683,0.5864197530864198,0.6491228070175439,0.2276465264219262,326,0.5030674846625767,0.488,4,10,cin,elastic_net,10
0.689551339957844,0.6439996727214368,0.6650105389942789,0.7682926829268293,0.5617283950617284,0.6980609418282548,0.21948025731440265,326,0.5030674846625767,0.444,4,20,cin,elastic_net,20
0.6445159590484794,0.6032265614562135,0.6343721770551038,0.7317073170731707,0.5370370370370371,0.6685236768802229,0.24823549411937487,326,0.5030674846625767,0.418,4,50,cin,elastic_net,50
0.7010885829717194,0.6708950608132009,0.6425071075864133,0.7423312883435583,0.5426829268292683,0.6740947075208914,0.21929401202566112,327,0.4984709480122324,0.421,0,all,loh,elastic_net,1368
0.6394957354481521,0.599707928912721,0.6211095316474637,0.7239263803680982,0.5182926829268293,0.6555555555555556,0.2330101428538314,327,0.4984709480122324,0.305,0,5,loh,elastic_net,5
0.6657938051773156,0.6165845233374947,0.6334355828220859,0.7668711656441718,0.5,0.6756756756756757,0.22948883427997727,327,0.4984709480122324,0.283,0,10,loh,elastic_net,10
0.655955409247344,0.6155579179370428,0.6240834954361814,0.6993865030674846,0.5487804878048781,0.6495726495726496,0.24070028502451143,327,0.4984709480122324,0.382,0,20,loh,elastic_net,20
0.6434049079754601,0.6081739010912939,0.6117200359120155,0.6441717791411042,0.5792682926829268,0.6231454005934718,0.25695685359797865,327,0.4984709480122324,0.471,0,50,loh,elastic_net,50
0.6958861831457714,0.6691666048562945,0.6717791411042945,0.7361963190184049,0.6073619631901841,0.69164265129683,0.22292287819848317,326,0.5,0.43,1,all,loh,elastic_net,1404
0.6787045052504799,0.6209120819051375,0.6625766871165644,0.7668711656441718,0.558282208588957,0.6944444444444444,0.22083596462302277,326,0.5,0.438,1,5,loh,elastic_net,5
0.6678271669991344,0.6104630503878616,0.6595092024539877,0.7668711656441718,0.5521472392638037,0.6925207756232687,0.22542888921447524,326,0.5,0.358,1,10,loh,elastic_net,10
0.6700854379163687,0.6059758112151713,0.6717791411042945,0.7668711656441718,0.5766871165644172,0.7002801120448179,0.22997656215252954,326,0.5,0.403,1,20,loh,elastic_net,20
0.6447551657947233,0.6168659271729237,0.6380368098159509,0.7116564417177914,0.5644171779141104,0.6628571428571428,0.257726415272207,326,0.5,0.314,1,50,loh,elastic_net,50
0.7426888479054538,0.706823381981146,0.6901840490797546,0.6993865030674846,0.6809815950920245,0.6930091185410334,0.20901177364519066,326,0.5,0.532,2,all,loh,elastic_net,1461
0.6582859723738191,0.6042577545330184,0.6503067484662577,0.7730061349693251,0.5276073619631901,0.6885245901639344,0.2250097584314916,326,0.5,0.332,2,5,loh,elastic_net,5
