lineage,ASXL1 (171023)_damaging,BRAF (673)_hotspot,CREBBP (1387)_damaging,ID3 (3399)_damaging,KRAS (3845)_hotspot,LRP1B (53353)_damaging,MUC19 (283463)_damaging,NFE2L2 (4780)_hotspot,PDS5B (23047)_damaging,PIK3CA (5290)_hotspot,PITX1 (5307)_damaging,RB1 (5925)_damaging,RB1 (5925)_hotspot,SLFN11 (91607)_damaging,TERT (7015)_hotspot,TP53 (7157)_damaging,TP53 (7157)_hotspot,TTN (7273)_damaging,TYRO3 (7301)_damaging
Lung,0.0,0.02040816326530612,0.030612244897959183,0.0,0.20408163265306123,0.08163265306122448,0.09693877551020408,0.030612244897959183,0.01020408163265306,0.05102040816326531,0.01020408163265306,0.3112244897959184,0.03571428571428571,0.01020408163265306,0.03571428571428571,0.8418367346938775,0.6938775510204082,0.22959183673469388,0.015306122448979591
Lymphoid,0.004424778761061947,0.022123893805309734,0.11061946902654868,0.07964601769911504,0.05752212389380531,0.022123893805309734,0.035398230088495575,0.0,0.03982300884955752,0.008849557522123894,0.04424778761061947,0.030973451327433628,0.0,0.017699115044247787,0.017699115044247787,0.45132743362831856,0.40707964601769914,0.09292035398230089,0.06637168141592921
Myeloid,0.19718309859154928,0.028169014084507043,0.07042253521126761,0.0,0.08450704225352113,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.04225352112676056,0.028169014084507043,0.5492957746478874,0.43661971830985913,0.056338028169014086,0.014084507042253521
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
Ovary/Fallopian Tube,0.02,0.0,0.06,0.0,0.08,0.06,0.0,0.0,0.06,0.2,0.02,0.02,0.0,0.0,0.04,0.66,0.42,0.12,0.06
Pancreas,0.0,0.021739130434782608,0.0,0.0,0.9130434782608695,0.06521739130434782,0.06521739130434782,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.8695652173913043,0.6521739130434783,0.08695652173913043,0.13043478260869565
Peripheral Nervous System,0.0,0.046511627906976744,0.023255813953488372,0.0,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.046511627906976744,0.09302325581395349,0.023255813953488372,0.0,0.046511627906976744,0.16279069767441862,0.4186046511627907,0.32558139534883723,0.023255813953488372,0.046511627906976744
Pleura,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.25,0.21875,0.0,0.09375
Prostate,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.18181818181818182
Skin,0.008130081300813009,0.6666666666666666,0.0,0.0,0.008130081300813009,0.07317073170731707,0.07317073170731707,0.0,0.0,0.032520325203252036,0.0,0.06504065040650407,0.024390243902439025,0.008130081300813009,0.5284552845528455,0.3170731707317073,0.21951219512195122,0.3008130081300813,0.07317073170731707
Soft Tissue,0.0,0.029850746268656716,0.0,0.0,0.029850746268656716,0.0,0.04477611940298507,0.0,0.0,0.014925373134328358,0.029850746268656716,0.014925373134328358,0.0,0.014925373134328358,0.07462686567164178,0.3880597014925373,0.23880597014925373,0.13432835820895522,0.029850746268656716
Testis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
Thyroid,0.0,0.5217391304347826,0.08695652173913043,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.43478260869565216,0.6956521739130435,0.4782608695652174,0.13043478260869565,0.13043478260869565
Uterus,0.10714285714285714,0.0,0.17857142857142858,0.0,0.21428571428571427,0.25,0.10714285714285714,0.14285714285714285,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.5714285714285714,0.4642857142857143,0.39285714285714285,0.0
