feature,kind,n_cell_lines
MMP23B (8510)_damaging,damaging,1
CDK11B (984)_damaging,damaging,2
SLC35E2B (728661)_damaging,damaging,0
CDK11A (728642)_damaging,damaging,3
NADK (65220)_damaging,damaging,5
GNB1 (2782)_damaging,damaging,5
CALML6 (163688)_damaging,damaging,1
TMEM52 (339456)_damaging,damaging,1
CFAP74 (85452)_damaging,damaging,11
GABRD (2563)_damaging,damaging,2
PRKCZ (5590)_damaging,damaging,6
FAAP20 (199990)_damaging,damaging,2
SKI (6497)_damaging,damaging,6
MORN1 (79906)_damaging,damaging,6
RER1 (11079)_damaging,damaging,1
PEX10 (5192)_damaging,damaging,1
PLCH2 (9651)_damaging,damaging,8
PANK4 (55229)_damaging,damaging,4
HES5 (388585)_damaging,damaging,1
TNFRSF14 (8764)_damaging,damaging,7
PRXL2B (127281)_damaging,damaging,0
MMEL1 (79258)_damaging,damaging,6
TTC34 (100287898)_damaging,damaging,1
ACTRT2 (140625)_damaging,damaging,4
PRDM16 (63976)_damaging,damaging,6
ARHGEF16 (27237)_damaging,damaging,6
MEGF6 (1953)_damaging,damaging,15
TPRG1L (127262)_damaging,damaging,0
WRAP73 (49856)_damaging,damaging,2
TP73 (7161)_damaging,damaging,9
GFOD3P (57212)_damaging,damaging,1
CCDC27 (148870)_damaging,damaging,4
SMIM1 (388588)_damaging,damaging,0
LRRC47 (57470)_damaging,damaging,3
CEP104 (9731)_damaging,damaging,5
DFFB (1677)_damaging,damaging,0
