roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model
0.7503427645519133,0.8414474809761558,0.6836179317794673,0.6150234741784038,0.7522123893805309,0.7043010752688172,0.19006257963422973,326,0.6533742331288344,0.614,1,20,wgd,random_forest
0.7624537787195148,0.854386137088663,0.7080892434251527,0.6197183098591549,0.7964601769911505,0.717391304347826,0.1855558036809816,326,0.6533742331288344,0.698,1,30,wgd,random_forest
0.7744816984502888,0.8675254286010083,0.7323735925879762,0.6948356807511737,0.7699115044247787,0.7648578811369509,0.18609550920245396,326,0.6533742331288344,0.662,2,all,wgd,random_forest
0.7240226016868171,0.8407358722826606,0.6436079604470482,0.6854460093896714,0.6017699115044248,0.7227722772277227,0.20344629486966126,326,0.6533742331288344,0.532,2,5,wgd,random_forest
0.7466450621130916,0.846051284899103,0.6796293988117496,0.784037558685446,0.5752212389380531,0.780373831775701,0.19342088457208279,326,0.6533742331288344,0.503,2,10,wgd,random_forest
0.760272549752794,0.8618544273204979,0.7013170468237151,0.6150234741784038,0.7876106194690266,0.7119565217391305,0.1891717489931771,326,0.6533742331288344,0.62,2,20,wgd,random_forest
0.7660060658938883,0.8637018803765941,0.7042045785034692,0.6384976525821596,0.7699115044247787,0.7253333333333334,0.18638675688395714,326,0.6533742331288344,0.607,2,30,wgd,random_forest
0.7745232456687025,0.864741702534862,0.6866924259420832,0.568075117370892,0.8053097345132744,0.6797752808988764,0.18786527214530124,326,0.6533742331288344,0.613,3,all,wgd,random_forest
0.6923843948647637,0.7949094976376541,0.6392870497320204,0.5352112676056338,0.7433628318584071,0.6404494382022472,0.21813690997460364,326,0.6533742331288344,0.606,3,5,wgd,random_forest
0.740329884914205,0.8377404020893777,0.6703435954962815,0.6150234741784038,0.7256637168141593,0.6986666666666667,0.19869600034060564,326,0.6533742331288344,0.574,3,10,wgd,random_forest
0.7442353234450952,0.8461883258143261,0.6913872616228344,0.5774647887323944,0.8053097345132744,0.6871508379888268,0.19490362050261228,326,0.6533742331288344,0.62,3,20,wgd,random_forest
0.751443765839877,0.8476770446223154,0.6914703560596618,0.6572769953051644,0.7256637168141593,0.7291666666666666,0.1882039018404908,326,0.6533742331288344,0.626,3,30,wgd,random_forest
0.7344836146971202,0.8182843036133074,0.6523502151605429,0.7169811320754716,0.5877192982456141,0.7396593673965937,0.19524620772796547,326,0.6503067484662577,0.565,4,all,wgd,random_forest
0.6771764316451506,0.8049476847701553,0.6372062231049321,0.660377358490566,0.6140350877192983,0.7070707070707071,0.21827073606767863,326,0.6503067484662577,0.591,4,5,wgd,random_forest
0.7205395564382654,0.8155094262429792,0.6742800397219464,0.7169811320754716,0.631578947368421,0.7487684729064039,0.1999785796949657,326,0.6503067484662577,0.566,4,10,wgd,random_forest
