roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept,held_out_lineage
0.6483582089552239,0.19154037373612276,0.6283582089552239,0.6,0.6567164179104478,0.27522935779816515,0.20509288508579993,226,0.11061946902654868,0.483,14,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1352,1457,Lymphoid
0.6787878787878788,0.23692398191992625,0.6424242424242425,0.8181818181818182,0.4666666666666667,0.34615384615384615,0.21833279938985503,71,0.15492957746478872,0.399,15,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1507,1888,Myeloid
0.7743506493506495,0.776026028199705,0.7256493506493507,0.6785714285714286,0.7727272727272727,0.7307692307692307,0.20939370508686125,50,0.56,0.493,16,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1528,1839,Ovary/Fallopian Tube
0.4852941176470588,0.7747627423079978,0.48284313725490197,0.8823529411764706,0.08333333333333333,0.8,0.2266912156793268,46,0.7391304347826086,0.423,17,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1532,1923,Pancreas
0.675,0.2747684929234852,0.7660714285714285,0.875,0.6571428571428571,0.5185185185185185,0.19984626874114209,43,0.18604651162790697,0.449,18,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1535,1924,Peripheral Nervous System
0.4807692307692307,0.797384411870633,0.46153846153846156,0.4230769230769231,0.5,0.55,0.39221320221339906,32,0.8125,0.396,19,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.3}",1546,1944,Pleura
0.5473544973544974,0.5490745252660858,0.555952380952381,0.42857142857142855,0.6833333333333333,0.4954128440366973,0.29006056881148856,123,0.5121951219512195,0.465,20,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1455,1686,Skin
0.5160455486542443,0.3348752541797102,0.5900621118012422,0.5714285714285714,0.6086956521739131,0.47058823529411764,0.24555338792156237,67,0.31343283582089554,0.426,21,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1511,1901,Soft Tissue
0.7575757575757576,0.8060226609139653,0.6401515151515151,0.9166666666666666,0.36363636363636365,0.7333333333333333,0.20830951499633293,23,0.5217391304347826,0.424,22,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1555,1938,Thyroid
0.8979591836734694,0.7404761904761905,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.12091559738897698,28,0.25,0.515,23,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1550,1492,Uterus
