gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_enet,gain_over_lineage
ARNT (405),0.27250710129737854,True,-0.04419469460973042,0.12725318046252682,0.017770401221384423,0.3053878790805741,0.17813469861804726
ASCC3 (10973),0.2764669954776764,True,-0.06893544121301957,0.16238466525246673,0.04874103153853813,0.14654583335965418,-0.015838831892812544
ASDURF (110599588),0.33118218183517456,True,-0.28829798351967195,-0.02780566993940121,-0.2984981471957537,0.0011567174453410941,0.028962387384742307
ASNS (440),0.2836697995662689,True,-0.05427636651086364,0.13050400628734238,0.05926569789317072,0.08717720723989512,-0.043326799047447254
ASPM (259266),0.25487279891967773,True,-0.034069395749152825,0.11224541722730424,0.06356470261677233,0.15761534396313334,0.0453699267358291
ATIC (471),0.4021686017513275,True,-0.039411776373928016,0.507551462379422,0.20255739819506713,0.5717998895460292,0.06424842716660728
ATP1B3 (483),0.38666683435440063,True,-0.029934524805870836,0.6122543858160671,0.06821468367772429,0.6632282535999504,0.05097386778388335
ATP2B1 (490),0.2712549567222595,True,-0.044154121825317444,0.31792707332435477,-0.0031300635000078014,0.41394891823355723,0.09602184490920246
ATP6V0E1 (8992),0.29840633273124695,True,-0.07621296231149538,0.32054356292024294,0.03174959073265469,0.5472947130287875,0.22675115010854457
ATXN7L3 (56970),0.33510488271713257,True,-0.10058938192759345,0.08348122928296761,0.0821271841346255,0.1513564113594591,0.06787518207649149
BAP1 (8314),0.3139053285121918,True,-0.03905394241176151,0.2222572847795596,0.13965512608801958,0.18973646689060844,-0.03252081788895117
BCL6 (604),0.2646372318267822,True,-0.07087878799654047,0.25237771607319487,0.3617298372461476,0.5186982715716997,0.2663205554985048
BCL9 (607),0.2965019941329956,True,-0.013784537848249321,0.032345245265178124,-0.05254999173215542,-0.022495190392739492,-0.054840435657917616
BCS1L (617),0.30589890480041504,True,-0.013042338700709257,0.30003716494886346,0.10213070383322205,0.4184715908567485,0.11843442590788505
BIRC2 (329),0.25306838750839233,True,-0.05407833055036701,0.22814907153978492,-0.09556706024224114,0.3277092741509309,0.09956020261114595
BIRC6 (57448),0.3434700071811676,True,-0.03308618503068332,0.3850706750613316,-0.03690516775529809,0.46238250352996824,0.07731182846863666
BNIP2 (663),0.28321725130081177,True,-0.12607576312634153,0.1511790899524335,-0.10110914006876341,0.05950553615592387,-0.09167355379650964
BRAF (673),0.36489808559417725,True,-0.032734101140044894,0.6010990060768094,0.06369309611488154,0.6614966970666981,0.060397690989888675
BRAP (8315),0.2690610885620117,True,-0.05575888525760313,0.09775727178887156,-0.04848531668473515,0.3972455252583945,0.29948825346952296
BRAT1 (221927),0.4187310039997101,True,-0.06643881638404225,0.2800018181887962,0.06189251767575797,0.3695367933475434,0.0895349751587472
BRD2 (6046),0.37176716327667236,True,-0.0313790739518571,0.27556994144706815,0.019183867914023146,0.3791021367277575,0.10353219528068935
BRD9 (65980),0.25262656807899475,True,-0.04184360978389954,0.2630703231099339,0.006658409428422975,0.37708118767806786,0.11401086456813397
BRK1 (55845),0.28263410925865173,True,-0.03492209687070924,0.25666685400664524,0.0013213157785096576,0.3292214874200997,0.07255463341345447
BTAF1 (9044),0.2755679190158844,True,-0.06310847718250572,0.15047126385449594,0.008153836817928892,0.27384126722935226,0.12337000337485632
C17orf100 (388327),0.351406991481781,True,-0.2403850736205534,-0.41044029183153224,-0.2288630813882576,-0.16450426397085474,0.2459360278606775
C19orf25 (148223),0.2802000641822815,True,-0.04469467873531107,0.24251436929932246,0.03799602648196839,0.3969914349489676,0.15447706564964514
C1QBP (708),0.2600409686565399,True,-0.08854344405766525,0.06229089835477464,0.05477365095346012,0.20233881463826747,0.14004791628349283
C2orf81 (388963),0.3293880224227905,True,-0.28006249578882286,-0.05644891996583996,-0.08801172788390509,-0.07986932350238743,-0.023420403536547472
C3orf38 (285237),0.3147856891155243,True,-0.08903857607691393,0.29848432299162075,0.07221474937322277,0.44699080965281857,0.1485064866611978
CAB39 (51719),0.4100474715232849,True,-0.0768407114349441,0.3655756799728362,-0.07117778283850339,0.425074957953939,0.05949927798110283
CAD (790),0.4092353880405426,True,-0.03546727738649009,0.4607155883001327,0.06602008361757422,0.5450231264740434,0.08430753817391068
CAND1 (55832),0.2939562499523163,True,-0.05156293195998767,0.1523190182402844,0.03430356423295846,0.2681971908459684,0.11587817260568398
CAPRIN1 (4076),0.2825658321380615,True,-0.09125490412991459,0.26989103603739356,-0.07590348856539593,0.29177875156158606,0.021887715524192497
CARM1 (10498),0.29117467999458313,True,-0.07996918674303995,0.2824670665770516,-0.08485136603879063,0.36078560561881623,0.07831853904176461
CARS2 (79587),0.3276308476924896,True,-0.04730853344546533,0.2661023535284138,0.07033210471281746,0.356186322935675,0.09008396940726116
CASC3 (22794),0.3015081584453583,True,-0.03538213559089572,0.13567284170232188,0.05313360222614501,0.18563771361948994,0.04996487191716806
CBFB (865),0.5042467713356018,True,-0.06976787822978338,0.5973576256844297,0.21807159258765002,0.6400203311827406,0.04266270549831086
CBLL1 (79872),0.25759872794151306,True,-0.050358866025678066,0.08563298174072802,0.03561876694032718,0.1973137505588308,0.11168076881810278
CCDC51 (79714),0.3100699782371521,True,-0.06352529556845357,0.2664775355682094,0.09858811295841782,0.3624086112486395,0.09593107568043008
CCDC6 (8030),0.27975308895111084,True,-0.08783702455649045,0.20322856903825395,0.042897806249575066,0.46628723428446045,0.26305866524620647
CCL4 (6351),0.27936986088752747,True,-0.047152935826864036,-0.03340999474822083,0.030866170666959087,0.07937189065757565,0.11278188540579648
